iter	Passed	Remaining
408	4669	6747
409	4677	6731
410	4688	6718
411	4696	6702
412	4705	6688
413	4717	6676
414	4726	6662
415	4734	6646
416	4744	6633
417	4754	6619
418	4764	6606
419	4772	6591
420	4781	6575
421	4789	6559
422	4799	6546
423	4808	6532
424	4816	6517
425	4827	6504
426	4836	6490
427	4844	6473
428	4852	6459
429	4861	6444
430	4872	6432
431	4880	6417
432	4890	6403
433	4899	6389
434	4908	6375
435	4916	6359
436	4923	6343
437	4931	6327
438	4940	6313
439	4948	6298
440	4957	6284
441	4966	6270
442	4976	6256
443	4984	6241
444	4992	6226
445	5000	6211
446	5008	6195
447	5016	6180
448	5023	6164
449	5031	6149
450	5039	6135
451	5048	6120
452	5057	6106
453	5065	6092
454	5073	6077
455	5082	6063
456	5092	6051
457	5101	6036
458	5110	6023
459	5120	6011
460	5129	5997
461	5138	5983
462	5146	5969
463	5154	5954
464	5164	5942
465	5175	5931
466	5185	5918
467	5193	5904
468	5202	5890
469	5211	5876
470	5220	5863
471	5231	5852
472	5242	5841
473	5251	5827
474	5259	5812
475	5270	5802
476	5279	5788
477	5289	5776
478	5299	5763
479	5308	5750
480	5316	5736
481	5325	5723
482	5333	5708
483	5343	5696
484	5351	5682
485	5359	5668
486	5368	5655
487	5379	5644
488	5388	5630
489	5396	5617
490	5406	5604
491	5415	5591
492	5428	5582
493	5437	5569
494	5447	5557
495	5456	5544
496	5464	5530
497	5472	5516
498	5480	5502
499	5489	5489
500	5498	5476
501	5507	5464
502	5517	5451
503	5526	5438
504	5535	5426
505	5545	5414
506	5553	5400
507	5565	5390
508	5575	5378
509	5584	5365
510	5592	5351
511	5600	5337
512	5610	5325
513	5618	5312
514	5626	5298
515	5634	5285
516	5645	5273
517	5653	5260
518	5663	5248
519	5671	5235
520	5682	5224
521	5691	5211
522	5700	5199
523	5710	5187
524	5721	5176
525	5730	5164
526	5739	5151
527	5749	5139
528	5758	5127
529	5766	5113
530	5774	5100
531	5783	5087
532	5790	5073
533	5800	5061
534	5808	5048
535	5816	5035
536	5827	5024
537	5834	5010
538	5844	4999
539	5855	4987
540	5864	4975
541	5872	4962
542	5881	4950
543	5891	4938
544	5900	4926
545	5910	4914
546	5920	4903
547	5929	4891
548	5938	4878
549	5949	4867
550	5958	4855
551	5968	4843
552	5977	4831
553	5989	4822
554	5999	4810
555	6007	4797
556	6018	4786
557	6029	4775
558	6036	4762
559	6046	4750
560	6056	4739
561	6064	4726
562	6073	4714
563	6082	4702
564	6091	4690
565	6101	4678
566	6110	4666
567	6121	4655
568	6130	4643
569	6139	4631
570	6148	4619
571	6158	4607
572	6166	4595
573	6176	4583
574	6186	4572
575	6194	4559
576	6202	4547
577	6213	4536
578	6222	4524
579	6231	4512
580	6242	4502
581	6252	4490
582	6262	4479
583	6273	4468
584	6282	4456
585	6290	4443
586	6298	4431
587	6307	4419
588	6317	4408
589	6326	4396
590	6336	4385
591	6345	4373
592	6358	4364
593	6366	4351
594	6374	4338
595	6384	4328
596	6396	4317
597	6405	4305
598	6414	4294
599	6422	4281
600	6431	4269
601	6444	4260
602	6454	4249
603	6465	4238
604	6474	4227
605	6483	4215
606	6491	4203
607	6499	4190
608	6508	4178
609	6517	4167
610	6526	4154
611	6535	4143
612	6543	4131
613	6552	4119
614	6565	4109
615	6574	4098
616	6584	4087
617	6593	4075
618	6601	4063
619	6609	4051
620	6619	4039
621	6628	4028
622	6638	4017
623	6647	4005
624	6657	3994
625	6666	3982
626	6677	3972
627	6688	3961
628	6697	3950
629	6704	3937
630	6712	3925
631	6720	3912
632	6729	3901
633	6737	3889
634	6745	3877
635	6753	3865
636	6763	3854
637	6773	3843
638	6781	3831
639	6790	3819
640	6800	3808
641	6809	3797
642	6820	3786
643	6829	3775
644	6838	3763
645	6846	3751
646	6854	3739
647	6864	3728
648	6873	3717
649	6883	3706
650	6891	3694
651	6900	3683
652	6909	3671
653	6919	3660
654	6929	3649
655	6940	3639
656	6949	3628
657	6960	3617
658	6972	3607
659	6983	3597
660	6994	3586
661	7004	3576
662	7013	3564
663	7022	3553
664	7031	3542
665	7041	3531
666	7051	3520
667	7061	3509
668	7070	3498
669	7079	3486
670	7088	3475
671	7097	3464
672	7107	3453
673	7114	3441
674	7123	3429
675	7131	3417
676	7138	3406
677	7149	3395
678	7160	3385
679	7169	3373
680	7179	3362
681	7188	3351
682	7196	3340
683	7204	3328
684	7213	3317
685	7222	3306
686	7232	3295
687	7241	3284
688	7250	3272
689	7258	3260
690	7266	3249
691	7276	3238
692	7286	3227
693	7294	3216
694	7303	3205
695	7312	3193
696	7321	3182
697	7330	3171
698	7338	3160
699	7346	3148
700	7355	3137
701	7364	3126
702	7374	3115
703	7382	3104
704	7391	3092
705	7398	3081
706	7406	3069
707	7416	3058
708	7424	3047
709	7433	3036
710	7442	3025
711	7450	3013
712	7460	3003
713	7469	2992
714	7482	2982
715	7490	2970
716	7498	2959
717	7507	2948
718	7515	2937
719	7524	2926
720	7533	2915
721	7542	2904
722	7551	2892
723	7561	2882
724	7571	2871
725	7580	2860
726	7591	2850
727	7601	2840
728	7611	2829
729	7622	2819
730	7631	2808
731	7639	2797
732	7648	2785
733	7656	2774
734	7664	2763
735	7673	2752
736	7681	2740
737	7689	2729
738	7697	2718
739	7706	2707
740	7715	2696
741	7724	2685
742	7733	2674
743	7741	2663
744	7750	2652
745	7763	2643
746	7777	2634
747	7785	2623
748	7794	2612
749	7802	2600
750	7811	2590
751	7821	2579
752	7829	2568
753	7837	2557
754	7845	2545
755	7852	2534
756	7861	2523
757	7872	2513
758	7880	2502
759	7888	2491
760	7898	2480
761	7906	2469
762	7916	2459
763	7926	2448
764	7934	2437
765	7943	2426
766	7952	2415
767	7961	2405
768	7971	2394
769	7978	2383
770	7986	2372
771	7995	2361
772	8004	2350
773	8014	2340
774	8024	2329
775	8032	2318
776	8041	2307
777	8050	2297
778	8057	2286
779	8067	2275
780	8076	2264
781	8085	2253
782	8094	2243
783	8103	2232
784	8111	2221
785	8119	2210
786	8128	2199
787	8136	2189
788	8145	2178
789	8153	2167
790	8161	2156
791	8169	2145
792	8178	2134
793	8187	2124
794	8196	2113
795	8205	2102
796	8214	2092
797	8222	2081
798	8230	2070
799	8242	2060
800	8250	2049
801	8259	2039
802	8269	2028
803	8277	2017
804	8286	2007
805	8295	1996
806	8303	1985
807	8311	1975
808	8320	1964
809	8328	1953
810	8339	1943
811	8348	1932
812	8355	1921
813	8364	1911
814	8375	1901
815	8383	1890
816	8395	1880
817	8405	1870
818	8414	1859
819	8425	1849
820	8434	1839
821	8445	1828
822	8454	1818
823	8462	1807
824	8471	1796
825	8480	1786
826	8489	1775
827	8497	1765
828	8506	1754
829	8515	1744
830	8525	1733
831	8535	1723
832	8544	1712
833	8554	1702
834	8565	1692
835	8575	1682
836	8584	1671
837	8595	1661
838	8607	1651
839	8616	1641
840	8627	1631
841	8636	1620
842	8647	1610
843	8656	1600
844	8667	1589
845	8677	1579
846	8686	1569
847	8694	1558
848	8703	1547
849	8712	1537
850	8721	1527
851	8730	1516
852	8740	1506
853	8748	1495
854	8761	1485
855	8771	1475
856	8781	1465
857	8792	1455
858	8800	1444
859	8811	1434
860	8822	1424
861	8832	1413
862	8841	1403
863	8853	1393
864	8863	1383
865	8871	1372
866	8880	1362
867	8889	1351
868	8917	1344
869	8925	1333
870	8935	1323
871	8944	1312
872	8952	1302
873	8962	1292
874	8973	1281
875	8985	1271
876	8995	1261
877	9005	1251
878	9013	1240
879	9024	1230
880	9033	1220
881	9041	1209
882	9052	1199
883	9060	1188
884	9069	1178
885	9077	1168
886	9089	1158
887	9098	1147
888	9108	1137
889	9116	1126
890	9125	1116
891	9135	1106
892	9144	1095
893	9153	1085
894	9162	1074
895	9170	1064
896	9181	1054
897	9191	1044
898	9200	1033
899	9211	1023
900	9220	1013
901	9230	1002
902	9240	992
903	9250	982
904	9260	972
905	9268	961
906	9275	951
907	9283	940
908	9292	930
909	9300	919
910	9309	909
911	9318	899
912	9328	888
913	9338	878
914	9347	868
915	9356	858
916	9365	847
917	9373	837
918	9382	827
919	9392	816
920	9400	806
921	9409	796
922	9416	785
923	9424	775
924	9433	764
925	9441	754
926	9449	744
927	9457	733
928	9465	723
929	9474	713
930	9483	702
931	9493	692
932	9502	682
933	9510	672
934	9518	661
935	9527	651
936	9536	641
937	9545	630
938	9554	620
939	9564	610
940	9574	600
941	9584	590
942	9594	579
943	9602	569
944	9611	559
945	9619	549
946	9630	538
947	9638	528
948	9648	518
949	9658	508
950	9668	498
951	9676	487
952	9686	477
953	9697	467
954	9708	457
955	9718	447
956	9726	437
957	9735	426
958	9743	416
959	9752	406
960	9760	396
961	9770	385
962	9780	375
963	9790	365
964	9800	355
965	9809	345
966	9817	335
967	9827	324
968	9836	314
969	9846	304
970	9856	294
971	9864	284
972	9873	273
973	9882	263
974	9890	253
975	9900	243
976	9909	233
977	9917	223
978	9925	212
979	9934	202
980	9944	192
981	9953	182
982	9963	172
983	9974	162
984	9982	152
985	9991	141
986	10000	131
987	10009	121
988	10018	111
989	10027	101
990	10036	91
991	10044	81
992	10052	70
993	10060	60
994	10070	50
995	10078	40
996	10086	30
997	10093	20
998	10101	10
999	10109	0
